time,ax,ay,az,aT
4.292000,2.2205,0.0731,-0.2177,2.232
4.306000,2.1115,-0.4826,-0.6145,2.251
4.309000,1.5844,-1.0918,-0.6558,2.033
4.320000,1.4648,-1.4888,-1.0533,2.339
4.328000,0.7537,-1.2853,-0.5020,1.572
4.338000,0.4585,-0.9591,-0.4650,1.160
4.366000,-0.1635,-0.7293,-0.4437,0.869
4.368000,-1.0785,-0.8544,-1.4987,2.035
4.368000,-0.8524,-1.2970,-1.5306,2.180
4.378000,-1.4310,-0.8287,-1.3403,2.129
4.393000,-1.3897,-1.0678,-1.2602,2.159
4.405000,-1.3207,-1.9938,-1.8547,3.026
4.409000,-1.5547,-2.3909,-1.1956,3.092
4.423000,-1.4365,-2.1463,-0.9485,2.751
4.428000,-1.2269,-1.6878,0.0394,2.087
4.438000,-0.9367,-1.0262,0.1287,1.395
4.459000,-0.8903,-0.5051,1.0800,1.488
4.461000,-0.7738,-0.2408,1.2666,1.504
4.492000,-0.5022,-0.6222,1.5042,1.704
4.495000,-0.5244,-1.0282,1.3808,1.800
4.495000,-0.5694,-1.4290,1.6711,2.271
4.506000,-0.5010,-1.4619,1.4877,2.145
4.510000,-0.3048,-1.2561,1.8633,2.268
4.520000,-0.2404,-0.7671,1.8683,2.034
4.528000,0.0333,-0.6700,2.0120,2.121
4.538000,0.4492,-0.6998,1.9340,2.105
4.566000,1.1046,-0.9929,2.0000,2.491
4.568000,1.4806,-1.2661,1.9585,2.762
4.575000,2.0324,-1.3349,2.3218,3.362
4.578000,1.7183,-0.9280,2.2378,2.970
4.590000,1.8057,-0.7095,2.1777,2.917
4.601000,1.8273,-0.4734,2.4302,3.077
4.608000,1.9787,-0.4337,2.4367,3.169
4.619000,1.6924,-0.3901,2.2377,2.833
4.628000,1.4424,-0.5197,2.1922,2.675
4.638000,1.3114,-0.6507,2.2023,2.645
4.660000,1.1806,-0.7620,2.0153,2.457
4.663000,1.0840,-0.9501,2.1602,2.597
4.668000,0.7204,-0.8504,1.9607,2.255
4.678000,0.7412,-0.7557,1.8444,2.127
4.700000,0.3889,-0.6111,1.6375,1.791
4.702000,0.4170,-0.4906,1.3190,1.468
4.708000,-0.1750,-0.3555,1.2524,1.314
4.720000,-0.1189,-0.6697,1.6490,1.784
4.728000,-0.6155,-0.5113,1.8467,2.013
4.739000,-1.0309,-0.4601,2.4709,2.717
4.768000,-0.7232,-1.1103,1.2659,1.833
4.772000,-1.0526,-0.9504,1.3129,1.933
4.778000,-1.2029,-0.7783,0.5860,1.548
4.785000,-0.7465,-0.7785,0.4557,1.171
4.803000,-0.4139,-0.6652,0.0869,0.788
4.805000,0.0026,-0.6831,0.1866,0.708
4.808000,0.5988,-0.8568,0.2123,1.067
4.826000,0.8025,-0.9290,0.4054,1.293
4.830000,0.4516,-0.5843,0.1218,0.748
4.851000,0.2483,-0.4417,-0.5691,0.762
4.855000,0.3273,-0.3706,-0.4283,0.654
4.858000,0.3150,-0.4815,-0.4902,0.756
4.874000,-0.0539,-0.7501,-0.5452,0.929
4.878000,-0.2811,-1.1048,-0.4745,1.235
4.894000,-0.6615,-1.0632,-0.1547,1.262
4.932000,-0.7031,-1.0607,0.6517,1.430
4.934000,-0.8056,-0.9289,0.3087,1.268
4.934000,-0.8084,-0.5105,0.5334,1.095
4.935000,-0.6948,-0.1684,0.5167,0.882
4.938000,-0.7159,0.3956,0.6805,1.064
4.952000,-0.7509,0.5880,0.5162,1.084
4.959000,-0.7810,0.4500,0.4637,1.014
4.979000,-0.6518,0.3142,0.1017,0.731
4.982000,-0.6253,0.0293,-0.0653,0.629
4.989000,-0.3971,-0.0791,-0.4261,0.588
5.010000,-0.3463,-0.2619,-0.5491,0.700
5.025000,0.1523,-0.2308,-1.0213,1.058
5.026000,0.3646,-0.3880,-1.0658,1.191
5.042000,0.8388,-0.2926,-1.3589,1.624
5.046000,1.0360,-0.0473,-1.3147,1.675
5.065000,1.4555,0.1496,-1.6376,2.196
5.070000,1.3606,0.1987,-1.8118,2.274
5.071000,1.7101,0.0079,-2.1512,2.748
5.078000,1.7096,-0.2394,-2.2138,2.807
5.110000,1.9391,-0.3200,-2.3136,3.036
5.119000,1.8797,-0.2317,-2.2728,2.958
5.121000,1.8354,-0.0548,-2.1805,2.851
5.122000,1.9363,0.0805,-1.9369,2.740
5.128000,1.9573,0.1131,-1.7154,2.605
5.140000,1.8968,0.1991,-1.6513,2.523
5.155000,1.7103,0.2850,-1.1510,2.081
5.158000,1.5408,0.3568,-0.9915,1.867
5.187000,1.4245,0.2297,-1.0785,1.801
5.193000,1.2660,-0.0491,-0.8243,1.512
5.194000,1.1451,-0.3438,-0.5654,1.323
5.204000,1.1331,-0.4372,-0.5946,1.352
5.208000,1.0983,-0.4567,-0.1658,1.201
5.221000,1.2085,-0.1924,0.0115,1.224
5.228000,1.1893,-0.0476,0.4373,1.268
5.239000,1.2091,0.0691,0.4945,1.308
5.263000,1.1743,0.0407,0.8430,1.446
5.268000,1.1656,-0.1051,0.8138,1.425
5.269000,0.8437,-0.9502,0.8810,1.546
5.278000,1.1235,-1.1975,0.7289,1.797
5.290000,0.6866,-1.6111,0.7415,1.902
5.304000,0.6379,-1.2622,0.7920,1.621
5.308000,0.1318,-1.3150,1.0364,1.679
5.319000,-0.2539,-0.6140,1.2610,1.425
5.328000,-0.8984,-0.7251,1.2518,1.703
5.338000,-0.9868,0.0905,1.5208,1.815
5.360000,-1.2175,0.4947,1.7180,2.163
5.362000,-1.2610,0.1830,1.6252,2.065
5.398000,-1.3252,-0.8430,1.2730,2.022
5.400000,-1.2256,-1.4386,1.0101,2.143
5.402000,-1.1503,-1.6579,0.7521,2.153
5.404000,-1.0260,-1.4525,0.7257,1.921
